CodDistritoConcelho,P_IP_Total,P_IP_Inef,Cap_PTD,Util_Media,N_PTDs,Delta_PLED,PFolga,PVE,D,Rate_Ineficiencia
101,910.8877014007568,244.32,105715,0.47759259259259257,388,158.808,50808.19514814815,5121.599999999999,45845.40314814815,0.26822186711302215
102,451.71180060958864,28.020000000000003,54540,0.4699481865284974,194,18.213,26596.303834196897,2560.7999999999997,24053.716834196897,0.06203070179301668
103,657.0718007774353,73.545,55628,0.5430092592592592,223,47.80425,23387.762451851853,2943.6,20491.966701851856,0.11192840708273115
104,585.9744003143311,115.72,41884,0.5273873873873873,236,75.218,18211.314133333333,3115.2,15171.332133333333,0.19748302986943617
105,1055.192000682831,144.42,197485,0.4754747474747475,509,93.87299999999999,95298.99993535354,6718.8,88674.07293535354,0.13686608684158294
106,391.71010011672973,137.9,25760,0.5432283464566928,128,89.635,10825.122771653545,1689.6,9225.157771653545,0.35204606661637206
107,387.5047000732422,49.295,62765,0.44339449541284404,116,32.04175,32140.51693577982,1531.2,30641.35868577982,0.12721136025106988
108,468.5167010345459,38.215,52200,0.5076162790697675,176,24.839750000000002,23646.235813953488,2323.2,21347.875563953487,0.0815659290599808
109,2045.0107004470824,757.57,223550,0.5828827361563518,644,492.42050000000006,85786.83918566776,8500.8,77778.45968566775,0.37044793938456133
110,472.91269931411745,102.015,79890,0.4807804878048781,211,66.30975000000001,38162.01108292683,2785.2,35443.120832926834,0.21571634711428997
111,378.64390013122556,123.95,32635,0.5871653543307087,129,80.56750000000001,12395.029968503935,1702.8,10772.797468503935,0.32735242785383045
112,292.3193004837036,26.65,21050,0.4962121212121212,69,17.322499999999998,9756.35606060606,910.8,8862.878560606061,0.09116743217400282
113,1008.5009011077881,170.74,115920,0.4993837535014006,377,110.98100000000001,53388.920470588244,4976.4,48523.50147058824,0.16930079072061374
114,472.7160010032654,42.57,56190,0.48576086956521736,190,27.6705,26583.489000000005,2508.0,24103.159500000005,0.09005407032901756
115,923.0092005653381,141.9,116660,0.5056393442622951,310,92.23500000000001,53058.34497049181,4092.0,49058.57997049181,0.15373627902418202
116,296.5063000106811,16.497999999999998,57100,0.437787610619469,117,10.7237,29534.141238938053,1544.3999999999999,28000.46493893805,0.055641313521519395
117,329.62600104904175,9.61,25110,0.5017293233082707,136,6.2465,11510.650556390978,1795.2,9721.697056390976,0.029154253515851207
118,454.93219794464113,58.79,45500,0.5438095238095239,194,38.2135,19096.13333333333,2560.7999999999997,16573.546833333334,0.12922804819181852
119,440.60890073776244,7.71,37270,0.5538461538461539,155,5.0115,15297.901538461538,2046.0,13256.913038461538,0.017498511689369542
201,138.048,0.0,21530,0.4736521739130435,129,0.0,10425.6872,1702.8,8722.887200000001,0.0
202,198.46099991226197,71.88,16765,0.4114285714285715,200,46.722,9078.008,2640.0,6484.73,0.36218702934973407
203,60.32270013427734,9.45,8510,0.41500000000000004,58,6.1425,4580.082,765.6,3820.6245000000004,0.15665744369805154
204,23.21860019683838,5.47,3470,0.3311764705882353,19,3.5555,2135.152235294118,250.79999999999998,1887.9077352941179,0.23558698429825395
205,418.20110110855103,39.07,98315,0.4467386091127098,439,25.395500000000002,50042.38215347722,5794.8,44272.97765347722,0.09342395296529536
206,175.53550105667114,55.53,15205,0.43396039603960396,107,36.094500000000004,7918.101603960397,1412.3999999999999,6541.796103960398,0.31634626423558787
207,74.655,0.0,10505,0.43350000000000005,63,0.0,5474.9959,831.6,4643.3958999999995,0.0
208,137.98180017089842,11.309999999999999,24790,0.4276282051282051,166,7.3515,13053.96905128205,2191.2,10870.120551282052,0.08196733182196428
209,206.15700003051757,16.09,16885,0.4679393939393939,193,10.4585,8265.135866666667,2547.6,5727.994366666668,0.07804731344372583
210,159.78490096092224,26.03,30340,0.5063366336633663,221,16.919500000000003,13779.52681188119,2917.2,10879.24631188119,0.16290650645623908
211,423.33190081596376,30.02,65693,0.46354709418837675,527,19.513,32421.904682164328,6956.4,25485.017682164325,0.0709136257913402
212,99.27950007247925,6.5600000000000005,14964,0.37993589743589745,167,4.264,8536.348092307691,2204.4,6336.212092307691,0.06607607809478146
213,244.34410078048705,109.315,45645,0.35973753280839893,414,71.05475,26886.79788976378,5464.8,21493.05263976378,0.44738137589908916
214,85.51040028762817,1.74,14865,0.46541176470588236,90,1.131,7310.921788235294,1188.0,6124.052788235294,0.020348401997268475
301,465.7696001281738,34.6,32128,0.5173134328358209,141,22.490000000000002,14267.133707462688,1861.1999999999998,12428.423707462687,0.0742856553765607
302,1529.958601070404,625.79,184245,0.6274439461883408,694,406.76349999999996,63150.26292376682,9160.8,54396.22642376683,0.4090241393212724
303,2502.533001815796,1320.345,374450,0.5423461091753774,893,858.2242500000001,157659.01946573754,11787.6,146729.64371573753,0.5276034318196722
304,397.72320006370546,106.28800000000001,28343,0.5577272727272727,190,69.08720000000001,11532.509036363637,2508.0,9093.596236363637,0.26724113650643283
305,382.37679987335207,4.34,33610,0.5279326923076924,220,2.821,14596.887634615383,2904.0,11695.708634615383,0.011350060990722924
306,994.5323999633789,818.485,73185,0.5697844827586207,245,532.01525,28966.496818965516,3234.0,26264.512068965516,0.8229847514572061
307,898.4140002880097,245.935,92681,0.5514956011730205,363,159.85775,38242.40929266862,4791.599999999999,33610.667042668625,0.2737435079163495
308,1974.1313957042694,908.48,302060,0.5620754716981132,891,590.5120000000001,121697.12437735849,11761.199999999999,110526.43637735849,0.4601922658121248
309,328.1854000167847,0.0,40108,0.5685714285714285,193,0.0,15919.438171428574,2547.6,13371.838171428573,0.0
310,211.63600007247925,46.1,14733,0.5052127659574468,96,29.965000000000003,6706.524293617022,1267.2,5469.289293617022,0.2178268346794122
311,317.9235,0.0,25418,0.52375,154,0.0,11136.8967,2032.8,9104.0967,0.0
312,1963.4780016441346,983.81,217120,0.5502564102564103,670,639.4765,89836.46194871794,8844.0,81631.93844871795,0.5010547605708842
313,1059.259700199127,612.21,75620,0.599503105590062,351,397.9365,27862.72914285715,4633.2,23627.46564285715,0.5779602489218767
314,312.68900036239626,80.56,37515,0.6118918918918919,112,52.364000000000004,13395.085621621623,1478.3999999999999,11969.049621621623,0.2576361813387539
401,212.19810004425048,0.0,10004,0.4989705882352941,74,0.0,4611.314376470588,976.8,3634.514376470588,0.0
402,869.3934000015258,27.98,78534,0.568816199376947,340,18.187,31153.58151028037,4488.0,26683.768510280373,0.032183359109870045
403,193.69840003967283,0.07,11945,0.5643373493975904,99,0.045500000000000006,4787.67113253012,1306.8,3480.9166325301203,0.0003613865679100229
404,118.18259999847412,0.8700000000000001,12060,0.4267605633802817,83,0.5655000000000001,6360.206197183099,1095.6,5265.171697183099,0.007361489762547388
405,516.8325000686646,32.37,31848,0.5783464566929134,185,21.040499999999998,12354.516283464567,2442.0,9933.556783464566,0.06263151020049906
406,322.8241997261047,50.339999999999996,17036,0.5507692307692308,102,32.721,7040.847753846154,1346.3999999999999,5727.168753846154,0.15593626513350053
407,563.0265000762939,62.811,50165,0.5399555555555555,247,40.82715,21231.879191111115,3260.4,18012.306341111114,0.11155958021778492
408,393.1024999198914,46.220000000000006,24523,0.443,155,30.043000000000006,12566.566119999998,2046.0,10550.609119999997,0.11757747663629455
409,213.077100151062,13.350000000000001,17436,0.5087179487179487,131,8.677500000000002,7880.714338461538,1729.2,6160.191838461538,0.0626533775358096
410,218.9537000770569,36.660000000000004,14261,0.5147126436781609,102,23.829000000000004,6367.028349425287,1346.3999999999999,5044.457349425287,0.167432658078389
411,186.5637000198364,0.0,10535,0.5533962264150943,65,0.0,4328.573094339623,858.0,3470.573094339623,0.0
412,359.5147002105713,1.85,15953,0.48675,156,1.2025000000000001,7532.84707,2059.2,5474.84957,0.005145825744862274
501,211.175,9.91,17500,0.45613207547169815,108,6.4415000000000004,8756.273584905659,1425.6,7337.115084905659,0.04692790339765597
502,1688.9166025314332,890.645,143740,0.45249557522123895,580,578.91925,72402.42313628319,7656.0,65325.3423862832,0.5273469386617767
503,2077.0013000335694,1807.9,120110,0.47997752808988764,455,1175.135,57463.107173033706,6006.0,52632.24217303371,0.870437587097697
504,567.6056001243592,0.0,66445,0.5238181818181817,395,0.0,29108.708836363643,5214.0,23894.708836363643,0.0
505,487.2362000350952,204.94,33261,0.36501845018450185,285,133.211,19430.511622140224,3762.0,15801.722622140223,0.4206173514719111
506,333.1875,0.0,14170,0.39509202453987735,167,0.0,7885.822331288344,2204.4,5681.422331288344,0.0
507,245.16300048828126,35.46,14016,0.44295999999999996,127,23.049000000000003,7182.874828800001,1676.3999999999999,5529.523828800001,0.1446384647331602
508,441.2956001434326,183.445,22550,0.45723684210526316,154,119.23925,11260.16447368421,2032.8,9346.603723684211,0.41569641741357855
509,610.5226032257079,133.31,31033,0.5189705882352941,277,86.6515,13733.56287647059,3656.4,10163.814376470591,0.21835391400032372
510,172.60550053405763,9.68,12935,0.40406976744186046,88,6.292,7091.688953488372,1161.6,5936.380953488373,0.05608164264782507
511,153.063100025177,33.01,10415,0.44378048780487805,84,21.4565,5329.5841219512195,1108.8,4242.2406219512195,0.21566269071102218
601,367.05750001525877,146.3,23948,0.5411764705882353,178,95.09500000000001,10108.873411764707,2349.6,7854.368411764706,0.3985751551021795
602,842.1797005500794,234.34,58118,0.5882374100719424,281,152.321,22016.352745323744,3709.2,18459.473745323743,0.2782541538901236
603,2777.5304000415804,1714.7549999999999,305779,0.5405718270571827,734,1114.59075,129244.8083107392,9688.8,120670.5990607392,0.6173667802067367
604,311.638,0.0,25080,0.5924271844660195,104,0.0,9404.172116504853,1372.8,8031.372116504853,0.0
605,751.8219999084473,0.38,112448,0.5688010204081633,401,0.24700000000000003,44608.46582857143,5293.2,39315.51282857144,0.0005054387874340925
606,219.75400000572205,78.11,9931,0.47242105263157896,100,50.7715,4820.235604210527,1320.0,3551.0071042105264,0.3554429043292324
